Name,Area,Peri,APRatio,PARatio,Centroid_1,Centroid_2,t_min,Eccentricity,Solidity,Orientation,MajorAxisLength,MinorAxisLength,Circularity
6-1560min.tif,55936,839.709,66.6135530284896,0.015011960097254,578.486824227689,779.89160826659,1560,0.289814573261083,0.994895327534995,-72.9596963588878,272.985490426461,261.269721397224,0.98946418189938
6-1580min.tif,55571,838.649,66.2625246080303,0.0150914865667344,578.033704630113,780.315758219215,1580,0.300568458583743,0.994577084153631,-78.7118978018836,272.572475026144,259.968790098521,0.985484822228038
6-1600min.tif,58653,860.484,68.1628014001423,0.0146707585289755,576.836581249041,780.543740303139,1600,0.165453269073721,0.99465811965812,-64.5549509547579,275.400964213576,271.605286509867,0.988209642025046
6-1620min.tif,56482,843.133,66.9906171386958,0.0149274636167275,579.180393753762,781.733685067809,1620,0.123711520093858,0.99531261013604,45.3425762215561,269.438294359685,267.368530023532,0.991054015760996
6-1640min.tif,56667,845.068,67.0561422276077,0.0149128769830766,576.736054493797,781.403268216069,1640,0.155653895927727,0.995310359363473,-25.2013542064473,270.44190089938,267.14566156211,0.989768723142916
6-1660min.tif,57484,851.881,67.4789084390895,0.0148194454108969,575.703900215712,781.430258854638,1660,0.243300884094734,0.994877120110765,-22.4607968806515,274.888904269492,266.628730373704,0.988101739508955
6-1680min.tif,58191,855.454,68.0235290266923,0.0147007956556856,575.913234005259,780.512467563713,1680,0.16896724221186,0.995466675790338,29.8811021854784,274.395199589828,270.449854119969,0.991946786632741
6-1700min.tif,57755,853.27,67.6866642446119,0.0147739589645918,575.557787204571,779.193437797593,1700,0.210882453835365,0.994626896516093,68.7014116858291,274.44102135907,268.269234521156,0.989542331117259
6-1720min.tif,58851,862.542,68.2297209874997,0.014656369475455,578.378719138163,778.695825049702,1720,0.233884165029356,0.994844140915545,-75.67198519123,277.86613197035,270.15936720589,0.986836803881422
6-1740min.tif,55407,837.946,66.12239929542,0.0151234681538434,580.290450665078,784.010449943148,1740,0.206654765747355,0.994775395884951,50.0080137954929,268.813338430934,263.010713431171,0.984219685191813
6-1760min.tif,65250,908.508,71.8210516583233,0.0139234942528736,574.733931034483,773.720459770115,1760,0.274012312478341,0.994422092172641,78.7974768145305,294.180798958866,282.92137713052,0.986584971249482
6-1780min.tif,54436,836.83,65.0502491545475,0.0153727312807701,582.825409655375,787.005070174149,1780,0.288714630722327,0.990213555498963,36.5796212181478,269.644625169426,258.161862287119,0.969542546429842
6-1800min.tif,61313,882.854,69.4486291051522,0.0143991323210412,577.258248658523,777.869375173291,1800,0.152828550284863,0.994582055898908,82.3506737563776,281.408591187601,278.102805050389,0.981520347816116
6-1820min.tif,59955,870.506,68.8737355055565,0.0145193228254524,577.145659244433,777.5590526228,1820,0.217337105636198,0.995219361585578,-89.1699616581833,279.966646978704,273.274493660863,0.987103523743429
6-1840min.tif,59482,866.726,68.6283785187014,0.0145712316330991,576.675229481188,778.295030429374,1840,0.224068907394931,0.995098285236303,-85.4375286404971,279.116182338156,272.019180002456,0.987845723528186
6-1860min.tif,59292,865.742,68.4869164254478,0.0146013290157188,573.601345881401,777.000573433178,1860,0.239671599884449,0.994665324609965,77.3549253115406,279.177377759899,271.040478924574,0.986921865861483
6-1880min.tif,60175,873.582,68.8830584879267,0.0145173577066888,574.286929788118,778.091665974242,1880,0.189378753666796,0.99489121089875,28.8981579669825,279.826186179362,274.76248321061,0.983785859234604
6-1900min.tif,61282,881.547,69.5164296401667,0.0143850886067687,574.557015110473,777.278238308149,1900,0.218244532604149,0.995160766482624,31.5102234892151,283.163178526013,276.337279551285,0.983924873582421
6-1920min.tif,61287,881.679,69.5116930311372,0.014386068823731,574.343319137827,778.136880578263,1920,0.21013532584924,0.994079673003309,56.5658324782268,282.931755900441,276.614543231794,0.983711580680854
6-1940min.tif,61341,883.688,69.4147708240918,0.0144061557522701,575.032718736245,778.134689685528,1940,0.24511198340789,0.994439400817068,63.0424407367574,284.409683355374,275.733701508574,0.980122507379094
6-1960min.tif,61127,883.218,69.2094137574189,0.0144489014674366,574.725195085641,776.782861910449,1960,0.27503527489895,0.993547233599896,56.597214047598,285.065658457619,274.071854997284,0.977739245099237
6-1980min.tif,62496,892.292,70.0398524249909,0.014277585765489,574.579269073221,777.223438300051,1980,0.201081417513745,0.994146093153474,42.1722476366077,285.566066751266,279.733246161999,0.979479428942483
6-2000min.tif,63535,898.874,70.6828765766948,0.0141476981191469,572.951491304006,777.376312268828,2000,0.184744163006193,0.994007947682969,35.7718352721126,287.353573300478,282.407254911775,0.981284204670839
6-2020min.tif,63506,898.245,70.7000873926379,0.0141442540862281,573.394923314332,776.217034610903,2020,0.137861756511541,0.994565642961176,48.9298619821589,286.153292987243,283.420952814396,0.982205665826423
6-2040min.tif,63621,898.998,70.7687892520339,0.0141305229405385,574.290140048097,777.619072318888,2040,0.185888440219461,0.993922824558663,45.6730517759666,287.614969604832,282.602086990198,0.982342352307469
6-2060min.tif,63899,899.834,71.0119866553164,0.014082129610792,574.052739479491,775.690511588601,2060,0.202282316833895,0.993670886075949,53.6008051882143,288.530614073302,282.565893072198,0.984808758970074
6-2080min.tif,65707,914.563,71.8452419352193,0.0139188062154717,577.420822743391,776.085379031153,2080,0.219495146098427,0.993017878462724,52.5924468382988,293.31785007543,286.164881301402,0.980427970543012
6-2100min.tif,63956,900.428,71.0284442509562,0.0140788667208706,575.568453311652,775.120942522985,2100,0.252404150734411,0.992920573806123,89.7619377231568,290.416390544515,281.013260109914,0.98439169952971
6-2120min.tif,63853,901.329,70.8431660359314,0.0141156875949446,576.048141825756,775.951028142765,2120,0.26383295119991,0.990352849941838,84.6902040523435,290.730258536637,280.429216628448,0.980849259141432
6-2140min.tif,63133,893.721,70.6406137933427,0.014156162387341,575.799217524908,777.154103242361,2140,0.241328806528778,0.994251787457873,65.2057604373494,288.10311293154,279.587766621551,0.986312348018813
6-2160min.tif,64109,900.379,71.2022381685935,0.0140445023319659,576.055358841972,777.560701305589,2160,0.307710565092821,0.994415920830166,53.4774216532692,293.166689916323,278.942244853075,0.9868536599321
6-2180min.tif,64519,902.536,71.4863451430192,0.0139886855034951,574.736728715572,778.102667431299,2180,0.361163921253054,0.994834551454035,47.0226496289252,297.068567661887,277.017135740272,0.988439848605347
6-2200min.tif,65055,907.39,71.6946406726986,0.0139480439628007,574.326077934056,778.515117977096,2200,0.350451578027536,0.994846464399315,42.9485777654217,297.674437839204,278.796178471006,0.986053563815822
